#separator:Pipe
#columns:Title|Content
#notetype:French Grammar
#deck:French Courses::B1.3::Grammar
Indiquer un moment précis dans le temps|<ol><li>Jusqu'au moment où<ul><li>Until the moment when...</li><li>Idée: On marque une limite précise dans le passé, le présent ou le futur</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi?</th>    <tr><td>Passé composé</td><td>Jái attendu jusqu'au moment où il est arrivé.</td><td>Deux actions successives, limitées dans le passé.</td></tr>    <tr><td>Imparfait</td><td>Il pleuvait jusquáu moment où elle est sortie.</td><td>L'imparfait donne la durée avant la limite.</td></tr>    <tr><td>Futur</td><td>Je resterai ici jusquáu moment où tu reviendras.</td><td>Limite dans le futur, logique de projection.</td></tr>    <tr><td colspan="3">PAS avec le présent. Ce marqueur indique une transition, donc pas adapté à une action en cours.</td></tr></table><ol start="2"><li>Pendant que<ul><li>During which...</li><li>Idée: Deux actions simultanées</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi?</th></tr>    <tr><td>Imparfait</td><td>Elle lisait pendant que je faisais la cuisine.</td><td>Deux actions longues, simultanées.</td></tr>    <tr><td>Passé composé</td><td>Il a téléphoné pendant que tu es sortie.</td><td>Rare, mais possible si les actions sont brèves.</td></tr>    <tr><td>Présent</td><td>Je travaille pendant que tu regardes la télé.</td><td>Simultanéité actuelle</td></tr>    <tr><td>Futur</td><td>Je cuisinerai pendant que tu mettras la table.</td><td>Deux actions prévues en parallèle.</td></tr></table><ol start="3"><li>Le jour où<ul><li>The day when...</li><li>Idée: Marque un moment unique et précis</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi?</th></tr>    <tr><td>Passé composé</td><td>Le jour où elle est partie, j'ai pleuré.</td><td>Action unique et marquante.</td></tr>    <tr><td>Imparfait</td><td>Le jour où je vivais à Paris, je prenais le métro.</td><td>Pour installer un décor/durée.</td></tr>    <tr><td>Futur</td><td>Le jour où tu viendras, je t'emmènerai.</td><td>Projection dans l'avenir</td></tr>    <tr><td colspan="3">PAS de prèsent pur. Il faut une référence temporelle claire, ce qu'on n'a pas au présent.</td></tr></table><ol start="4"><li>À l'époque (où)<ul><li>At the time (when)...</li><li>Idée: Fait référence à une période ancienne.</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi?</th></tr>    <tr><td>Imparfait</td><td>À l'époque, je vivais à Marseille.</td><td>Description d'une durée dans le passé.</td></tr>    <tr><td>Plus-que-parfait</td><td>À l'époque, j'avais déjà terminé mes études.</td><td>Pour une action antérieure à cette époque.</td></tr>    <tr><td colspan="3">PAS de présent. On parle toujours d'un passé révolu.</td></tr></table><ol start="5"><li>À partir du moment où<ul><li>From the moment when...</li><li>Idée: Point de départ d'un changement.</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi?</th></tr>    <tr><td>Passé composé</td><td>À partir du moment où j'ai compris, tout a changé.</td><td>Le moment déclencheur est ponctuel.</td></tr>    <tr><td>Futur</td><td>À partir du moment où tu seras prêt, on partira.</td><td>Début d'un événement futur.</td></tr>    <tr><td colspan="3">Peu utilisé avec l'imparfait. L'expression indique un événement déclencheur, donc temps perfectifs requis.</td></tr></table><ol start="6"><li>Jusqu'à présent<ul><li>Until now (the present)...</li><li>Idée: Depuis un moment passé jusqu'au présent.</li></ul></li></ol><table>    <tr><th>Temps possible</th><th>Exemple</th><th>Pourquoi</th></tr>    <tr><td>Passé composé</td><td>Jusqu'à présent, j'ai toujours été ponctuel.</td><td>Lien entre le passé et le présent.</td></tr>    <tr><td>Présent</td><td>Jusqu'à présent, tout va bien.</td><td>Action toujours vraie.</td></tr>    <tr><td colspan="3">PAS d'imparfait ou de future. Ces temps ne créent pas de pont entre passé et présent.</td></tr></table>
La Voix Passive|<ul><li>Le sujet ne fait pas l'action</li><li>La chose qui fait l'action s'appelle le <strong>complément d'agent</strong></li><li>The <strong>CA</strong> can be omitted if it's unknown or not important</li><li>The <strong>CA</strong> is normally introduced by <strong>par</strong></li><li>The passive is formed with conjugated <strong>être</strong> and the past participle. Note: Both <strong>être</strong> and the past participle agree with the subject</li><li>Used to give precendence to the object which experiences the action</li></ul><h2>Examples</h2><ul><li>Présent: La chanson est chantée par les enfants</li><li>Imparfait: La chanson était chantée par les enfants</li><li>Passé composé: Les maisons ont été construites par les ouvriers</li><li>Futur simple: Les cadeux seront ouverts par les enfants</li></ul>
Le Gérondif|<ul><li>Used for showing a way of doing something or a simultaneous action</li><li>Participe présent avec &quot;en&quot; avant</li><li>Can be used with COD/COI</li></ul><h2>Examples</h2><ul><li>Simultaneity: Le plombier chante en travaillant</li><li>Manner: Il s’est fracturé le genou en jouant au foot</li></ul>
Le genre des noms|<h2>Masculin</h2><table>    <tr><th>Terminaisons</th><th>Exemples</th><th>Exceptions</th></tr>    <tr><td>-age</td><td>le garage</td><td>la page<br>la plage<br>la cage<br>la nage<br>la rage</td></tr>    <tr><td>-ail</td><td>le travail</td><td></td></tr>    <tr><td>-al</td><td>le journal</td><td></td></tr>    <tr><td>-ant</td><td>le restaurant</td><td></td></tr>    <tr><td>-aire</td><td>le dictionnaire</td><td>l'affaire<br>la grammaire<br>la paire</td></tr>    <tr><td>-eau</td><td>le tableau</td><td>l'eau<br>la peau</td></tr>    <tr><td>-amme</td><td>le programme</td><td>la flamme<br>la gamme</td></tr>    <tr><td>-et</td><td>le cabinet</td><td>la forêt</td></tr>    <tr><td>-ier</td><td>le papier</td><td></td></tr>    <tr><td>-isme</td><td>le communisme</td><td></td></tr>    <tr><td>-ment</td><td>le gourvernement</td></tr></td></tr>    <tr><td>-oir</td><td>le miroir</td><td></td></tr>    <tr><td>-ain</td><td>le frain<br>le copain</td><td></td></tr>    <tr><td>-eu</td><td>l'aveu<br>le neveu</td><td></td></tr>    <tr><td>-ège</td><td>le siège<br>le manège</td><td></td></tr>    <tr><td>-at</td><td>le chat<br>le plat</td><td></td></tr></table><h2>Féminin</h2><table>    <tr><th>Terminaisons</th><th>Exemples</th><th>Exceptions</th></tr>    <tr><td>-ade</td><td>la parade<br>la sérénade</td><td>le stade</td></tr>    <tr><td>-aille</td><td>la bataille</td><td></td></tr>    <tr><td>-able</td><td>la table</td><td>le câble<br>le cartable<br>le diable<br>le portable<br>le sable</td></tr>    <tr><td>-ision/-ition</td><td>la télévision<br>la conversation</td><td></td></tr>    <tr><td>-aine/-eine</td><td>la douzaine<br>la peine</td><td>le domaine<br>le capitaine</td></tr>    <tr><td>-ée</td><td>une allée</td><td>le lycée<br>le musée</td></tr>    <tr><td>-esse</td><td>la promesse</td><td></td></tr>    <tr><td>-ette</td><td>la cigarette</td><td></td></tr>    <tr><td>-té</td><td>la liberté</td><td></td></tr>    <tr><td>-ice</td><td>la justice</td><td>l'exercice<br>le sacrifice<br>le service</td></tr>    <tr><td>-tude</td><td>la solitude</td><td></td></tr>    <tr><td>-oire</td><td>la solitude</td><td></td></tr>    <tr><td>-çon</td><td>la leçon</td><td>le garçon<br>le glaçon<br>le soupçon<br>le maçon</td></tr>    <tr><td>-eur</td><td>l'odeur<br>la sueur</td><td>le bonheur<br>le tailleur<br>le malheur</td></tr>    <tr><td>-ance/-ence</td><td>la connaissance<br>la science</td><td>le silence</td></tr>    <tr><td>-ie</td><td>la partie<br>la vie</td><td>l'incendie<br>le parapluie</td></tr></table>
Les marqueurs temporels|<ol><li>PRÉSENT + ACTION QUI CONTINUE: DEPUIS</li></ol><ul><li>Quand une action a commencé dans le passé et continue dans le présent.</li><li>Exemple : J’habite ici depuis deux ans.</li></ul><ol start="2"><li>PASSÉ + ACTION TERMINÉE → PENDANT ou IL Y A</li></ol><ul><li>PENDANT : pour dire combien de temps une action passée a duré</li><li>IL Y A : pour dire quand une action a eu lieu (point dans le passé)</li><li>Exemple : J’ai vécu en France pendant 5 ans.</li><li>Exemple : J’ai déménagé il y a 2 semaines.</li></ul><ol start="3"><li>FUTUR + ACTION À VENIR → DANS ou POUR</li></ol><ul><li>DANS : exprime un moment précis à venir</li><li>POUR : exprime une durée prévue : ATTENTION : AU FUTUR /JAMAIS !</li><li>Exemple : Je partirai dans une semaine.</li><li>Exemple : Il part pour trois mois.</li></ul><ol start="4"><li>ACTION RÉPÉTÉE / HABITUELLE → EN, À, LE...</li></ol><ul><li>Pour parler d’habitudes ou de moments précis (saisons, années, dates…)</li><li>Exemple : Il est né en 1995.</li><li>Exemple : Le train part à 17h.</li><li>Exemple : Le samedi, je fais du sport.</li></ul><ol start="5"><li>POUR L’ORDRE CHRONOLOGIQUE → APRÈS, AVANT, PUIS, ... PLUS TARD</li></ol><ul><li>Pour raconter une suite logique d’événements :</li><li>Exemple : Après le repas, on est sortis.</li><li>Exemple : Avant le film, j’ai pris des snacks.</li><li>Exemple : On est allés au parc, puis au musée.</li><li>Exemple : Trois ans plus tard, ils ont déménagé.</li></ul><table>    <tr><td>Pour indiquer une heure</td><td>à</td><td>La classe commence à 9 heures.</td></tr>    <tr><td>Pour indiquer un mois, une année</td><td>en</td><td>Mon fils est né en mars, en 2015</td></tr>    <tr><td>Pour indiquer l'origine d'un événement qui continue au moment où l'on parle</td><td>depuis</td><td>J'habite à Paris depuis deux ans</td></tr>    <tr><td>Pour indiquer une durée complète</td><td>pendant</td><td>J'y suis restée pendant un an</td></tr>    <tr><td>Pour situer un événement passé par rapport au moment présent</td><td>il y a</td><td>Je suis rentré en France il y a un an</td></tr>    <tr><td>Pour exprimer un événement futur</td><td>dans</td><td>Je vais ouvrir mon agence dans 1 an</td></tr>    <tr><td>Pour indiquer une période</td><td>dans les années</td><td>Je suis né dans les années 1900</td></tr>    <tr><td>Pour indiquer l'âge</td><td>à l'âge de</td><td>À l'âge de 10 ans, j'allais à l'école</td></tr>    <tr><td>Pour préciser la chronologie d'une série d'événements</td><td>... jours / mois/ ans plus tard<br />la même année<br />après<br />puis<br />... ans ont passé</td><td>Deux mois plus tard, je travaillais<br />La même année, j'ai étudié l'anglais<br />Après mes études, je suis allé à Nice<br />Puis j'ai déménagé.<br />10 ans ont passé et j'habite depuis à Londres.</td></tr></table>
Les prépositions à, de, pour après un adjectif|<ul><li>Link an adjective or (adjective and verbe) to a noun (or noun group) or a verb in the infinitive</li></ul><ol><li><p>Adjectif + de + nom</p><ul><li>Utilisé pour exprimer <strong>une opinion, un sentiment, une qualité, un état</strong></li><li>Exemples:<ul><li>conscient - prise de conscience</li><li>fier - sentiment positif</li><li>jaloux - émotion négative</li><li>responsable - rôle, charge</li></ul></li></ul></li><li><p>Adjectif + de + infinitif</p><ul><li>Utilisé pour exprimer <strong>une émotion, un jugement personnel, une difficulté, une volonté</strong></li><li>Exemples:<ul><li>heureux - émotion</li><li>content/ravi - émotion positive</li><li>triste - émotion négative</li><li>difficile - jugement impersonnel</li><li>important - formel / neutre</li></ul></li></ul></li><li><p>Adjectif + à + infinitif</p><ul><li>Utilisé quand l'adjectif décrit <strong>la capacité, la possibilité, la facilité ou la disposition à faire quelque chose</strong>. Très frequent avec des objets ou des structures impersonnelles.</li><li>Exemples:<ul><li>prêt - disposition à agir</li><li>facile - accessibilité, simplicité</li><li>difficile - difficulté</li></ul></li></ul></li><li><p>Adjectif + pour + nom / infinitif</p><ul><li>Utilisé pour exprimer <strong>le but, l'utilité, l'effet positif ou négatif sur quelqu'un</strong></li><li>Exemples:<ul><li>dangereux - danger potentiel</li><li>nécessaire - utilité</li><li>utile - aide, usage</li></ul></li></ul></li><li><p>Les adjectifs qui change de préposition selon le complément</p><ul><li>Certains adjectifs utilise <strong>de</strong> avec un verbe, mais <strong>pour</strong> avec un nom</li><li>Exemples:<ul><li>bon - Il est <strong>bon de</strong> se reposer - Ce fruit est <strong>bon pour</strong> la santé</li><li>mauvais - Il est <strong>mauvais de</strong> fumer - Fumer est <strong>mauvais pour</strong> la santé</li></ul></li></ul></li></ol>
Les valeurs du on|<ul><li><em>on</em> is a pronoun that can stand in for 3 different cases:<ul><li>nous</li><li>quelqu'un</li><li>tout le monde</li></ul></li><li>It's always the subject of the sentence</li><li>Always conjugates the verb in 3rd person singular</li><li>But any adjectives that agree with it can be in plural depending on the sense</li></ul><h2>Examples</h2><ul><li>On = nous: <em>On est super contents!</em> We are very happy</li><li>On = tout le monde: <em>On ne s'ennuie jamais</em> One is never bored</li><li>On = quelqu'un: <em>On nous a annoncé la nouvelle...</em> Someone told us the news/We were told the news</li></ul>
Nomilisation|<ul><li>Transform a verb into a noun</li><li>There are no rules for how to do it</li><li>To transform a phrase from:<ul><li>Subject + verb + COD</li><li>Nominal verb + de + COD + par + subject</li></ul></li><li>It's not always <strong>par</strong>, depends on the original subject</li><li>Used for things like news headlines</li></ul><h2>Example</h2><ul><li>Miss Luxembourg électe le week-end prochain</li><li>Élection de Miss Luxembourge le week-end prochain</li></ul>
Participe présent|<ul><li>La base de la première personne du pluriel du présent indicatif + <em>-ant</em></li><li>Don't forget to include any specific letters required for pronounciation, e.g. <em>ç</em> or <em>e</em></li><li>Used in particular for le gérondif</li></ul><h2>Examples</h2><ul><li>lire -&gt; (nous) lisons -&gt; lisant</li><li>manger -&gt; (nous) mangeons -&gt; mangeant</li><li>commencer -&gt; (nous) commençons -&gt; commençant</li></ul><h2>Exceptions</h2><ul><li>être: étant</li><li>avoir: ayant</li><li>savoir: sachant</li></ul>
Subjunctive Triggers|<ul><li>There are certain verbs, expressions and conjunctions that introduce a usage of the subjunctive</li><li>If the subject of the second clause is the same as the preceding one then you should use the infinitive (possibly with a preposition de/à) instead</li><li>There's also no future subjunctive tense so you just use the present</li><li>The subjunctive clause will be introduced by que</li><li>Clauses introduced by verbs other than these don't use the subjunctive</li></ul><h2>PANDO - Preferences, Advice, Needs, Desires, Orders</h2><ul><li>commander, défendre, demander, falloir, préférer, souhaiter</li><li>il est urgent que ...</li></ul><h2>JEF - Judgements, Emotions, Feelings</h2><ul><li>aimer, adorer, avoir peur, être content</li><li>il est important que ...</li></ul><h2>PODS - Possibilities, Opinions, Doubts, Suppositions</h2><ul><li>il semble que ...</li><li>il est possible que ...</li></ul><h2>Examples</h2><ul><li>Je voudrais que les gens comprennent</li><li>Il faut qu'il y ait moins d'accidents de la route</li></ul>
