Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
abordable;abordable;abordable;abordables;abordables;affordable;;
approprié;approprié;appropriée;appropriés;appropriées;appropriate;;
cadet;cadet;cadette;cadets;cadettes;younger sibling (2nd born);;
chronophage;chronophage;chronophage;chronophages;chronophages;time consuming;;
cohérent;cohérent;cohérente;cohérents;cohérentes;coherent;;
contemporain;contemporain;contemporaine;contemporains;contemporaines;Contemporary, of the current era
éloigné;éloigné;éloignée;éloignés;éloignées;remote/ distant;;
étendu;étendu;étendue;étendus;étendues;Extensive (wide), Extended (family);;
extraconjugal;extraconjugal;extraconjugale;extraconjugals;extraconjugales;extramarital (e.g. an affair);;
illimité;illimité;illimitée;illimités;illimitées;limitless/ unlimited;;
infidèle;infidèle;infidèle;infidèles;infidèles;unfaithful;;
ingrat;ingrat;ingrate;ingrats;ingrates;ungrateful;;
ludique;ludique;;ludiques;;playful/ relating to games
occidental;occidental;occidentale;occidentaux;occidentales;Western;;
polémique;polémique;polémique;polémiques;polémiques;controversial;;
prenant;prenant;prenante;prenants;prenantes;gripping/ captivating;;
serein;serein;sereine;sereins;sereines;serene/ calm
thématique;thématique;;thématiques;;relating to themes
