Word;Past Participle;Present Participle;Basic meanings of word;Example sentences;Wiktionary
accorder;accordé;accordant;(reflexive) to agree, to link to/ be related to;;
bousculer;bousculé;bousculant;to shove;;
brancher;branché;branchant;to plug in (an appliance);;
démoder;démodé;démodant;(reflexive) to go out of fashion;;
dresser;dressé;dressant;to raise, erect, build, draw up, lay out;;
éblouir;ébloui;éblouissant;to dazzle;;
emménager;emménagé;emménageant;to move in
essuyer;essuyé;essuyant;to wipe;;
incommoder;incommodé;incommodant;to both/ disconcert, to inconvenience;;
mincir;minci;mincissant;to make thinner;;
nuire;nui;nuisant;to harm;;
priver;privé;privant;to deprive;;
ramer;ramé;ramant;to row
régner;régné;régnant;to reign;;
résider;résidé;résidant;to reside/ live;;
surplomber;surplombé;surplombant;to overhang, overlook, hang over
