Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
amer;amer;amère;amers;amères;bitter, sour;;
ample;ample;;amples;;ample/ plentiful, (clothes) loose;;
argenté;argenté;argentée;argentés;argentées;silvery;;
censé;censé;censée;censés;censées;supposed to/ meant to;;
chaotique;chaotique;;chaotiques;;chaotic
doré;doré;dorée;dorés;dorées;golden;;
impressionné;impressionné;impressionnée;impressionnés;impressionnées;impressed
mou;mou;molle;mous;molles;soft/ squishy, comfortable;;
serré;serré;serrée;serrés;serrées;tight;;
tendre;tendre;;tendres;;tender
