Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
arobase;l'arobase;;les arobases;;the @ symbol;;
chaos;le chaos;;;;chaos;;
col;le col;;les cols;;collar;;
connexion;;la connexion;;les connexions;connection, login;;
contraire;le contraire;;les contraires;;(also adj) opposite;;
douane;;la douane;;les douanes;customs
enthousiasme;l'enthousiasme;;les enthousiasmes;;enthusiasm;;
fourrure;;la fourrure;;les fourrures;fur;;
gymnase;le gymnase;;les gymnases;;gymnasium;;
hasard;le hasard;;les hasards;;chance, coincidence, hazard;;
impression;;l'impression;;les impressions;impression/ the overall feel
joue;;la joue;;les joues;cheek;;
mal;le mal;;les maux;;trouble/ difficulty, evil;;
manche;;la manche;;les manches;sleeve;;
nom d'utilisateur;le nom d'utilisateur;;les noms d'utilisateur;;username
pois;le pois;;les pois;;pea, polka dot;;
publicité;;la publicité;;les publicités;advertising;;
rayure;;la rayure;;les rayures;scratch, stripe;;
renseignement;le renseignement;;les renseignements;;piece of information;;
soie;;la soie;;les soies;silk;;
sorte;;la sorte;;les sortes;kind/ type, way/ manner;;
sourcil;le sourcil;;les sourcils;;eyebrow
statue;;la statue;;les statues;statue;;
tissu;le tissu;;les tissus;;fabric;;
tube;le tube;;les tubes;;tube, pipe
